model,rmse,mae,r2
LinearRegression,1.956187464126954,1.005854567799822,0.7804301854853878
RandomForestRegressor,1.396822783212887,0.7564479193525384,0.8881195886110977
GBTRegressor,1.4696038912249683,0.7656128133047267,0.8761588411674208
